Compound ID,smiles,Minimum Degree,Molecular Weight,Number of H-Bond Donors,Number of Rings,Number of Rotatable Bonds,Polar Surface Area,Calculated_LogP,Aromatic_Proportion,measured log solubility in mols per litre,ESOL_Predicted_LogS,Solubility_Status
4-Pentene-1-ol,OCCCC=C,1,86.134,1,0,3,20.23,0.9449,0.0,-0.15,-0.7713178,Acceptable👍
Cyclobutyl-5-spirobarbituric acid,O=C2NC(=O)C1(CCC1)C(=O)N2,1,168.152,2,2,0,75.27,-0.4773,0.0,-1.655,-0.5818433999999999,Acceptable👍
menthol,CC(C)C1CCC(C)CC1O,1,156.269,1,1,1,20.23,2.439500000000001,0.0,-2.53,-2.2797528000000007,Acceptable👍
Isopropyl formate,CC(C)OC=O,1,88.106,0,0,2,26.3,0.5678,0.0,-0.63,-0.6119711999999999,Acceptable👍
2-Heptanol,CCCCCC(C)O,1,116.204,1,0,4,20.23,1.9475,0.0,-1.55,-1.5233898000000001,Acceptable👍
p-Bromoacetanilide,CC(=O)Nc1ccc(Br)cc1,1,214.062,1,1,1,29.1,2.4075,0.5454545454545454,-3.083,-3.021545763636364,Acceptable👍
brompyrazone,c1ccccc1n2ncc(N)c(Br)c2(=O),1,266.098,1,2,1,60.91,1.5771999999999995,0.8,-3.127,-3.0094436,Acceptable👍
nifedipine,COC(=O)C1=C(C)NC(=C(C1c2ccccc2N(=O)=O)C(=O)OC)C,1,346.339,1,2,4,107.77,2.1756,0.24,-4.76,-3.2715297999999997,Acceptable👍
"2,7-dimethylquinoline",c2c(C)cc1nc(C)ccc1c2,1,157.216,0,2,0,12.89,2.8516400000000006,0.8333333333333334,-1.94,-3.2279390666666674,Acceptable👍
1-Octyne,CCCCCCC#C,1,110.2,0,0,4,0.0,2.5900000000000007,0.0,-3.66,-1.8909400000000003,Acceptable👍
cyclobarbital,CCC1(C(=O)NC(=O)NC1=O)C2=CCCCC2,1,236.271,2,2,2,75.27,1.2492,0.0,-2.17,-1.9598761999999996,Acceptable👍
Chrysene,c1ccc2c(c1)ccc3c4ccccc4ccc23,2,228.294,0,4,0,0.0,5.146200000000003,1.0,-8.057,-5.2375288000000015,Poor👎
Bromacil,CCC(C)n1c(=O)[nH]c(C)c(Br)c1=O,1,261.119,1,1,2,54.86,1.57852,0.4285714285714285,-2.523,-2.6385482571428573,Acceptable👍
"2,2',3,3',5,6-PCB",Clc1cccc(c1Cl)c2c(Cl)c(Cl)cc(Cl)c2Cl,1,360.882,0,2,1,0.0,7.274000000000001,0.6666666666666666,-8.6,-7.087421733333334,Poor👎
2-Methylphenol,Cc1ccccc1O,1,108.14,1,1,0,20.23,1.70062,0.75,-0.62,-2.1368586,Acceptable👍
"2,2,5-Trimethylhexane",CC(C)CCC(C)(C)C,1,128.259,0,0,2,0.0,3.468700000000003,0.0,-5.05,-2.688486800000001,Acceptable👍
"1,4-Dimethylnaphthalene ",Cc1ccc(C)c2ccccc12,1,156.228,0,2,0,0.0,3.456640000000002,0.8333333333333334,-4.14,-3.6029634666666674,Acceptable👍
6-Methylchrysene,Cc1cc2c3ccccc3ccc2c4ccccc14,1,242.321,0,4,0,0.0,5.454620000000004,0.9473684210526316,-6.57,-5.47985343157895,Poor👎
2-Pentanone,CCCC(=O)C,1,86.134,0,0,2,17.07,1.3755,0.0,-0.19,-1.1085957999999998,Acceptable👍
"2,2',3,3',5,5',6,6'-PCB",Clc1cc(Cl)c(Cl)c(c1Cl)c2c(Cl)c(Cl)cc(Cl)c2Cl,1,429.772,0,2,1,0.0,8.580799999999998,0.6,-9.15,-8.288490399999999,Poor👎
Methyl butyrate,CCCOC(=O)CC,1,116.16,0,0,3,26.3,1.3496,0.0,-0.82,-1.21244,Acceptable👍
Triamcinolone,CC34CC(O)C1(F)C(CCC2=CC(=O)C=CC12C)C3CC(O)C4(O)C(=O)CO,1,394.439,4,4,2,115.06,0.6204999999999998,0.0,-3.68,-2.5444367999999997,Acceptable👍
p-Aminophenol,Nc1ccc(O)cc1,1,109.128,2,1,0,46.25,0.9744,0.75,-0.8,-1.6854656,Acceptable👍
Benznidazole,O=C(Cn1ccnc1N(=O)=O)NCc2ccccc2,1,260.253,1,2,5,90.06,1.1077,0.5789473684210527,-2.81,-2.2498406526315784,Acceptable👍
"Atovaquone(0,430mg/ml) - neutral",OC4=C(C1CCC(CC1)c2ccc(Cl)cc2)C(=O)c3ccccc3C4=O,1,366.844,1,4,2,54.37,5.505100000000005,0.4615384615384615,-5.931,-5.792184261538465,Poor👎
Trietazine,CCNc1nc(Cl)nc(n1)N(CC)CC,1,229.715,1,1,5,53.94,1.803,0.4,-4.06,-2.3661229999999995,Acceptable👍
Pyrazinamide,NC(=O)c1cnccn1,1,123.115,1,1,1,68.87,-0.4245000000000001,0.6666666666666666,-0.667,-0.763211333333333,Acceptable👍
Carbromal,CCC(Br)(CC)C(=O)NC(N)=O,1,237.097,2,0,3,72.19,1.1349999999999998,0.0,-2.68,-1.8270513999999998,Acceptable👍
"2,2'-PCB",Clc1ccccc1c2ccccc2Cl,1,223.102,0,2,1,0.0,4.660400000000002,0.8571428571428571,-5.27,-4.727570114285715,Poor👎
nitrofurantoin,O=C2CN(N=Cc1ccc(o1)N(=O)=O)C(=O)N2,1,238.159,1,2,3,118.05,0.0734999999999999,0.2941176470588235,-3.38,-1.382537858823529,Acceptable👍
Nitrofen,Clc2ccc(Oc1ccc(cc1)N(=O)=O)c(Cl)c2,1,284.098,0,2,3,52.37,4.693900000000003,0.6666666666666666,-5.46,-4.853897933333335,Poor👎
Camphor,CC1(C)C2CCC1(C)C(=O)C2,1,152.237,0,2,0,17.07,2.401700000000001,0.0,-1.96,-2.2969404000000004,Acceptable👍
5-Allyl-5-phenylbarbital,O=C1NC(=O)NC(=O)C1(CC=C)c1ccccc1,1,244.25,2,2,3,75.27,0.8664999999999998,0.3333333333333333,-2.369,-1.9489116666666664,Acceptable👍
Pentyl propanoate,CCCCC(=O)OCC,1,130.187,0,0,4,26.3,1.7397,0.0,-2.25,-1.4791704,Acceptable👍
Isopentyl acetate,CC(C)CCOC(=O)C,1,130.187,0,0,3,26.3,1.5956,0.0,-1.92,-1.4543874,Acceptable👍
3-Hexanoyloxymethylphenyltoin,O=C1N(COC(=O)CCCCC)C(=O)C(N1)(c2ccccc2)c3ccccc3,1,380.444,1,3,8,75.71,3.5630000000000024,0.4285714285714285,-5.886,-4.232585657142859,Poor👎
"2,3',5-PCB",Clc1cccc(c1)c2cc(Cl)ccc2Cl,1,257.547,0,2,1,0.0,5.313800000000001,0.8,-6.01,-5.310485400000001,Poor👎
1-Bromopropane,CCCBr,1,122.993,0,0,1,0.0,1.7913,0.0,-1.73,-1.6650756,Acceptable👍
Propiconazole,CCCC1COC(Cn2cncn2)(O1)c3ccc(Cl)cc3Cl,1,342.226,0,3,5,49.17,3.653400000000003,0.5,-3.493,-4.303443200000001,Poor👎
Formothion,COP(=S)(OC)SCC(=O)N(C)C=O,1,257.273,0,0,6,55.84,0.8516999999999999,0.0,-1.995,-1.5756636,Acceptable👍
4-methylpteridine,Cc1ncnc2nccnc12,1,146.153,0,2,0,51.56,0.7282199999999999,0.9090909090909092,-0.466,-1.8776544727272726,Acceptable👍
Thiourea,NC(=S)N,1,76.124,2,0,0,52.04,-0.8113000000000001,0.0,0.32,0.19915020000000017,Acceptable👍
p-Xylene,Cc1ccc(C)cc1,1,106.168,0,1,0,0.0,2.30344,0.75,-2.77,-2.5044088,Acceptable👍
"1,2-Diethylbenzene",CCc1ccccc1CC,1,134.222,0,1,2,0.0,2.811400000000001,0.6,-3.28,-2.7553584000000004,Acceptable👍
Hexachloroethane,ClC(Cl)(Cl)C(Cl)(Cl)Cl,1,236.74,0,0,0,0.0,3.7268,0.0,-3.67,-3.655672,Acceptable👍
Flucythrinate,CC(C)C(C(=O)OC(C#N)c1cccc(Oc2ccccc2)c1)c3ccc(OC(F)F)cc3,1,451.469,0,3,9,68.55,6.627980000000005,0.5454545454545454,-6.876,-6.624371563636366,Poor👎
1-Nitropropane,CCCN(=O)=O,1,89.094,0,0,2,43.14,0.6731,0.0,-0.8,-0.6844357999999999,Acceptable👍
Menthone,CC(C)C1CCC(C)CC1=O,1,154.253,0,1,1,17.07,2.6477000000000013,0.0,-2.35,-2.398419600000001,Acceptable👍
RTI 24,CCN2c1cc(Cl)ccc1NC(=O)c3cccnc23,1,273.723,1,3,1,45.23,3.458700000000001,0.631578947368421,-5.36,-4.1174320210526325,Poor👎
"2,3-Dichloronitrobenzene",O=N(=O)c1c(Cl)c(Cl)ccc1,1,192.001,0,1,1,43.14,2.901600000000001,0.5454545454545454,-3.48,-3.1960505636363647,Acceptable👍
thiamylal,CCCC(C)C1(CC=C)C(=O)NC(=S)NC1=O,1,254.355,2,1,5,58.2,1.5159999999999998,0.0,-3.46,-2.0420809999999996,Acceptable👍
Fluoranthene,c1ccc2c(c1)c3cccc4cccc2c34,2,202.256,0,4,0,0.0,4.487200000000002,1.0,-6.0,-4.660923200000002,Poor👎
Propylisopropylether,CCCOC(C)C,1,102.177,0,0,3,9.23,1.8214,0.0,-1.34,-1.4229794,Acceptable👍
"1,3-Dimethylnaphthalene",Cc1cc(C)c2ccccc2c1,1,156.228,0,2,0,0.0,3.456640000000002,0.8333333333333334,-4.29,-3.6029634666666674,Acceptable👍
diethylstilbestrol,CCC(=C(CC)c1ccc(O)cc1)c2ccc(O)cc2,1,268.356,2,2,4,40.46,4.828600000000005,0.6,-4.07,-4.725825200000003,Poor👎
Chlorothalonil,c1(C#N)c(Cl)c(C#N)c(Cl)c(Cl)c(Cl)1,1,265.914,0,1,0,47.58,4.043559999999999,0.4285714285714285,-5.64,-4.353252457142856,Poor👎
"2,3',4',5-PCB",Clc1ccc(Cl)c(c1)c2ccc(Cl)c(Cl)c2,1,291.992,0,2,1,0.0,5.967200000000002,0.75,-7.25,-5.898686400000001,Poor👎
styrene oxide,C1OC1c2ccccc2,2,120.151,0,2,1,12.53,1.7579,0.6666666666666666,-1.6,-2.119746533333333,Acceptable👍
Isopropylbenzene,CC(C)c1ccccc1,1,120.195,0,1,1,0.0,2.8100000000000014,0.6666666666666666,-3.27,-2.7828423333333343,Acceptable👍
Deoxycorticosterone,CC12CCC3C(CCC4=CC(=O)CCC34C)C2CCC1C(=O)CO,1,330.468,1,4,2,54.37,3.695900000000003,0.0,-3.45,-4.085318600000003,Poor👎
chlorquinox,c2(Cl)c(Cl)c(Cl)c1nccnc1c2(Cl),1,267.93,0,2,0,25.78,4.2434,0.7142857142857143,-5.43,-4.703079428571429,Poor👎
L-arabinose,C1OC(O)C(O)C(O)C1O,1,150.13,4,1,0,90.15,-2.5823000000000005,0.0,0.39,0.8560430000000002,Acceptable👍
Dichloromethane,ClCCl,1,84.933,0,0,0,0.0,1.4215,0.0,-0.63,-1.2621296000000002,Acceptable👍
1-Ethylnaphthalene,CCc1cccc2ccccc12,1,156.228,0,2,1,0.0,3.4022000000000023,0.8333333333333334,-4.17,-3.5026662666666684,Acceptable👍
Methyl formate,COC=O,1,60.052,0,0,1,26.3,-0.2108000000000001,0.0,0.58,-0.01351839999999993,Acceptable👍
o-Nitrophenol,Oc1ccccc1N(=O)=O,1,139.11,1,1,1,63.37,1.3004000000000002,0.6,-1.74,-1.899734,Acceptable👍
thymine,Cc1c[nH]c(=O)[nH]c1=O,1,126.115,2,1,0,65.72,-0.6283800000000002,0.6666666666666666,-1.506,-0.7193669333333331,Acceptable👍
2-Methylpropane,CC(C)C,1,58.124,0,0,0,0.0,1.6623,0.0,-2.55,-1.2476178,Acceptable👍
Inosine,OCC1OC(C(O)C1O)n2cnc3c(O)ncnc23,1,268.229,4,3,2,133.75,-1.8566000000000005,0.4736842105263157,-1.23,-0.5518881157894733,Acceptable👍
Ioxynil,Oc1c(I)cc(C#N)cc1I,1,370.915,1,1,0,44.02,2.4730799999999995,0.5454545454545454,-3.61,-4.101349763636363,Poor👎
Niclosamide,Oc1ccc(Cl)cc1C(=O)Nc2ccc(cc2Cl)N(=O)=O,1,327.123,2,2,3,92.47,3.8595000000000006,0.5714285714285714,-4.7,-4.524504742857142,Poor👎
Pentane,CCCCC,1,72.151,0,0,2,0.0,2.1965000000000003,0.0,-3.18,-1.5391312000000004,Acceptable👍
Phenol,c1ccccc1O,1,94.113,1,1,0,20.23,1.3922,0.8571428571428571,0.0,-1.9348723142857143,Acceptable👍
2-aminoanthracene,Nc3ccc2cc1ccccc1cc2c3,1,193.249,1,3,0,26.02,3.575200000000001,0.9333333333333332,-5.17,-3.981186466666667,Acceptable👍
theobromine,Cn1cnc2n(C)c(=O)[nH]c(=O)c12,1,180.167,1,2,0,72.68,-1.0397,0.6923076923076923,-2.523,-0.8143320923076922,Acceptable👍
Isoquinoline,c1ccc2cnccc2c1,2,129.162,0,2,0,12.89,2.2348,1.0,-1.45,-2.7887284,Acceptable👍
Anilofos,COP(=S)(OC)SCC(=O)N(C(C)C)c1ccc(Cl)cc1,1,367.86,0,1,7,38.77,4.331900000000004,0.2857142857142857,-4.432,-4.5992575714285735,Poor👎
Hexylbenzene,CCCCCCc1ccccc1,1,162.276,0,1,5,0.0,3.809400000000003,0.5,-5.21,-3.286033200000002,Acceptable👍
2-Chlorobiphenyl,Clc1ccccc1c2ccccc2,1,188.657,0,2,1,0.0,4.007000000000002,0.9230769230769232,-4.54,-4.151160323076924,Poor👎
2-Methyl-1-Pentene,CCCC(=C)C,1,84.162,0,0,2,0.0,2.3626000000000005,0.0,-3.03,-1.7182424000000003,Acceptable👍
"2,3,4-Trimethylpentane",CC(C)C(C)C(C)C,1,114.232,0,0,2,0.0,2.9345000000000017,0.0,-4.8,-2.264973400000001,Acceptable👍
Pentachlorobenzene,Clc1cc(Cl)c(Cl)c(Cl)c1Cl,1,250.339,0,1,0,0.0,4.9536,0.5454545454545454,-5.65,-4.916506163636363,Poor👎
m-Nitrophenol,Oc1cccc(c1)N(=O)=O,1,139.11,1,1,1,63.37,1.3003999999999998,0.6,-1.01,-1.8997339999999998,Acceptable👍
1-Decene,CCCCCCCCC=C,1,140.27,0,0,7,0.0,3.923000000000004,0.0,-5.51,-2.7191640000000024,Acceptable👍
Glyceryl triacetate,CC(=O)OCC(COC(=O)C)OC(=O)C,1,218.205,0,0,5,78.9,0.0442999999999997,0.0,-0.6,-0.8907799999999997,Acceptable👍
dimethirimol,CCCCc1c(C)nc(nc1O)N(C)C,1,209.293,1,1,4,49.25,1.89922,0.4,-2.24,-2.3661251999999995,Acceptable👍
Cyfluthrin,CC1(C)C(C=C(Cl)Cl)C1C(=O)OC(C#N)c2ccc(F)c(Oc3ccccc3)c2,1,434.294,0,3,6,59.32,6.317080000000003,0.4137931034482758,-7.337,-6.422590096551726,Poor👎
Pyridine,c1ccncc1,2,79.102,0,1,0,12.89,1.0816,1.0,0.76,-1.7518403999999999,Acceptable👍
1-Bromoheptane,CCCCCCCBr,1,179.101,0,0,5,0.0,3.351700000000002,0.0,-4.43,-2.7319972000000012,Acceptable👍
"3,4-Dimethylpyridine",Cc1ccncc1C,1,107.156,0,1,0,12.89,1.69844,0.75,0.36,-2.1293844,Acceptable👍
Fludrocortisone,CC34CC(O)C1(F)C(CCC2=CC(=O)CCC12C)C3CCC4(O)C(=O)CO,1,380.456,3,4,2,94.83,1.8737,0.0,-3.43,-3.2472581999999997,Acceptable👍
ethiofencarb,CCSCc1ccccc1OC(=O)NC,1,225.313,1,1,4,38.33,2.6579000000000006,0.4,-2.09,-2.9434176000000005,Acceptable👍
Malonic acid diethylester,CCOC(=O)CC(=O)OCC,1,160.169,0,0,4,52.6,0.5027,0.0,-0.82,-0.8857488,Acceptable👍
d-Limonene,CC1=CCC(CC1)C(C)=C,1,136.238,0,1,1,0.0,3.308900000000002,0.0,-4.26,-2.7032826000000014,Acceptable👍
Indan,C1Cc2ccccc2C1,2,118.179,0,2,0,0.0,2.1753,0.6666666666666666,-3.04,-2.436482133333333,Acceptable👍
p-t-Butylphenol,CC(C)(C)c1ccc(O)cc1,1,150.221,1,1,0,20.23,2.689700000000001,0.5454545454545454,-2.41,-2.869517563636365,Acceptable👍
Cyclopropyl-5-spirobarbituric acid,O=C2NC(=O)C1(CC1)C(=O)N2,1,154.125,2,2,0,75.27,-0.8674000000000002,0.0,-1.886,-0.2491129999999998,Acceptable👍
m-Chloroiodobenzene,Clc1cccc(I)c1,1,238.455,0,1,0,0.0,2.9446000000000003,0.75,-3.55,-3.7285190000000004,Acceptable👍
1-Bromonapthalene,Brc1cccc2ccccc12,1,207.07,0,2,0,0.0,3.6023000000000014,0.9090909090909092,-4.35,-4.066010272727273,Poor👎
trans-2-Pentene,CC/C=C/C,1,70.135,0,0,1,0.0,1.9725,0.0,-2.54,-1.451512,Acceptable👍
"2,6-Dimethylpyridine",Cc1cccc(C)n1,1,107.156,0,1,0,12.89,1.69844,0.75,0.45,-2.1293844,Acceptable👍
Trichloroethylene,ClC=C(Cl)Cl,1,131.389,0,0,0,0.0,2.5017000000000005,0.0,-1.96,-2.2306828000000003,Acceptable👍
1-Napthylamine,Nc1cccc2ccccc12,1,143.189,1,2,0,26.02,2.4220000000000006,0.9090909090909092,-1.92,-2.9263590727272732,Acceptable👍
m-Xylene,Cc1cccc(C)c1,1,106.168,0,1,0,0.0,2.30344,0.75,-2.82,-2.5044088,Acceptable👍
2-hydroxypteridine,Oc2ncc1nccnc1n2,1,148.125,1,2,0,71.79,0.1253999999999998,0.9090909090909092,-1.947,-1.5101042727272724,Acceptable👍
Methanol,CO,1,32.042,1,0,0,20.23,-0.3915,0.0,1.57,0.20798460000000002,Acceptable👍
Amobarbital,CCC1(CCC(C)C)C(=O)NC(=O)NC1=O,1,226.276,2,1,4,75.27,1.1849999999999998,0.0,-2.468,-1.7254611999999998,Acceptable👍
2-Butanone,CCC(=O)C,1,72.107,0,0,1,17.07,0.9854,0.0,0.52,-0.8418654000000001,Acceptable👍
5-fluorouracil,Fc1c[nH]c(=O)[nH]c1=O,1,130.078,2,1,0,65.72,-0.7977000000000001,0.6666666666666666,-1.077,-0.6372659333333331,Acceptable👍
tubercidin,Nc1ncnc2n(ccc12)C3OC(CO)C(O)C3O,1,266.257,4,3,2,126.65,-1.3750000000000009,0.4736842105263157,-1.95,-0.8430697157894731,Acceptable👍
"1,3-Benzenediol",Oc1cccc(O)c1,1,110.112,2,1,0,40.46,1.0978,0.75,0.81,-1.7693084,Acceptable👍
1-Hexanol,CCCCCCO,1,102.177,1,0,4,20.23,1.559,0.0,-1.24,-1.1916673999999998,Acceptable👍
1-Chloropentane,CCCCCCl,1,106.596,0,0,3,0.0,2.415400000000001,0.0,-2.73,-1.8245972000000008,Acceptable👍
"1,3-Butadiene",C=CC=C,1,54.092,0,0,1,0.0,1.3584,0.0,-1.87,-0.9651623999999999,Acceptable👍
Propyl acetate,CCCOC(=O)C,1,102.133,0,0,2,26.3,0.9595,0.0,-0.72,-0.9457095999999999,Acceptable👍
"5,6,7,8-tetrahydro-2-naphthol",Oc2ccc1CCCCc1c2,1,148.205,1,2,0,20.23,2.271,0.5454545454545454,-1.99,-2.593237363636364,Acceptable👍
chloroacetamide,NC(=O)CCl,1,93.513,1,0,1,43.09,-0.2895000000000001,0.0,-0.02,-0.17139559999999993,Acceptable👍
Iodofenphos,COP(=S)(OC)Oc1cc(Cl)c(I)cc1Cl,1,413.0,0,1,4,27.69,4.494100000000002,0.375,-6.62,-5.245383000000001,Poor👎
4-Chlorotoluene,Cc1ccc(Cl)cc1,1,126.586,0,1,0,0.0,2.6484200000000007,0.75,-3.08,-2.8483378000000004,Acceptable👍
Metribuzin,CSc1nnc(c(=O)n1N)C(C)(C)C,1,214.294,1,1,1,73.8,0.3714999999999997,0.4285714285714285,-2.253,-1.653810657142857,Acceptable👍
Tricresyl phosphate,Cc1ccc(OP(=O)(Oc2cccc(C)c2)Oc3ccccc3C)cc1,1,368.369,0,3,6,44.76,6.256760000000005,0.6923076923076923,-6.01,-6.181954292307695,Poor👎
Caproaldehyde,CCCCCC=O,1,100.161,0,0,4,17.07,1.7656,0.0,-1.3,-1.3093261999999999,Acceptable👍
Butamben,CCCCOC(=O)c1ccc(N)cc1,1,193.246,1,1,4,52.32,2.2257,0.4285714285714285,-3.082,-2.4934590571428568,Acceptable👍
RTI 3,O2c1cc(C)ccc1N(C)C(=O)c3cc(N)cnc23,1,255.277,1,3,0,68.45,2.35452,0.631578947368421,-3.043,-3.3734334210526313,Acceptable👍
Nerol,CC(C)=CCC/C(C)=C\CO,1,154.253,1,0,4,20.23,2.6714000000000016,0.0,-2.46,-2.2153506000000007,Acceptable👍
"2,4'-PCB",Clc1ccc(cc1)c2ccccc2Cl,1,223.102,0,2,1,0.0,4.660400000000002,0.8571428571428571,-5.28,-4.727570114285715,Poor👎
